weight_g,ram,ram1,android,display,internal,intenal1,camera,speed1,speed,month number,concat,timestamp,approx_price_EUR
386,1,1,3.2,8.2,16,16,5,#VALUE!,#VALUE!,12,2011 12,26,210
599,1,1,2.1,10,43540,42.51953125,5,#VALUE!,#VALUE!,12,2011 12,26,210
100,Err:502,Err:502,2.1,2.8,150,0.146484375,2,420,420,2,2011 2,27,
100.7,Err:502,Err:502,2.1,2.8,150,0.146484375,2,420,420,2,2011 2,27,80
,Err:502,Err:502,2.2,3.5,Err:502,Err:502,3.15,600,600,2,2011 2,27,190
144,Err:502,Err:502,2.2,3.5,150,0.146484375,5,600,600,2,2011 2,27,110
120,Err:502,Err:502,2.2,2.8,150,0.146484375,2,600,600,2,2011 2,27,80
,256,0.25,2.2,3.2,512,0.5,3.15,600,600,2,2011 2,27,110
198,512,0.5,2.2,3.8,2,2,5,800,800,2,2011 2,27,160
440,512,0.5,2.2,7,8,8,3.15,#VALUE!,#VALUE!,2,2011 2,27,160
440,Err:502,Err:502,2.2,7,Err:502,Err:502,3.15,#VALUE!,#VALUE!,2,2011 2,27,210
,256,0.25,2.2,3.5,512,0.5,1.3,416,416,2,2011 2,27,
122,Err:502,Err:502,2.2,3.5,512,0.5,5,600,600,2,2011 2,27,380
,Err:502,Err:502,2.2,2.6,4,4,5,600,600,2,2011 2,27,
122,Err:502,Err:502,2.2,2.8,140,0.13671875,3.15,#VALUE!,#VALUE!,2,2011 2,27,40
134,Err:502,Err:502,2.2,3.1,8,8,5,#VALUE!,#VALUE!,2,2011 2,27,150
182,Err:502,Err:502,2.2,5,43473,42.4541015625,3.15,#VALUE!,#VALUE!,2,2011 2,27,180
,512,0.5,2.2,7,4,4,5,#VALUE!,#VALUE!,2,2011 2,27,
120,Err:502,Err:502,2.2,3.2,Err:502,Err:502,3.15,#VALUE!,#VALUE!,2,2011 2,27,
453.6,Err:502,Err:502,2.2,7,16,16,5,#VALUE!,#VALUE!,2,2011 2,27,210
135.5,768,0.75,2.2,4,1.1,1.1,8,#VALUE!,#VALUE!,2,2011 2,27,190
453.6,Err:502,Err:502,2.2,7,16,16,5,#VALUE!,#VALUE!,2,2011 2,27,140
131,478,0.466796875,2.3,4,43469,42.4501953125,5,#VALUE!,#VALUE!,2,2011 2,27,150
185,512,0.5,2.3,4.8,8,8,8,#VALUE!,#VALUE!,2,2011 2,27,220
120,512,0.5,2.3,3.4,512,0.5,5,800,800,2,2011 2,27,130
120,512,0.5,2.3,2.6,512,0.5,5,800,800,2,2011 2,27,70
104,256,0.25,2.3,3.2,512,0.5,3.15,600,600,2,2011 2,27,100
120,512,0.5,2.3,4.3,Err:502,Err:502,5,800,800,2,2011 2,27,250
142,512,0.5,2.3,3.7,1,1,8,#VALUE!,#VALUE!,2,2011 2,27,190
105,512,0.5,2.3,3.2,512,0.5,5,600,600,2,2011 2,27,100
130,768,0.75,2.3,3.7,1.1,1.1,5,#VALUE!,#VALUE!,2,2011 2,27,100
420.8,1,1,2.3,7,43540,42.51953125,5,#VALUE!,#VALUE!,2,2011 2,27,300
420.8,1,1,2.3,7,43540,42.51953125,5,#VALUE!,#VALUE!,2,2011 2,27,110
175,512,0.5,2.3,4,400,0.390625,5,#VALUE!,#VALUE!,2,2011 2,27,140
175,512,0.5,2.3,4,400,0.390625,5,#VALUE!,#VALUE!,2,2011 2,27,70
116,1,1,2.3,4.3,43540,42.51953125,8,#VALUE!,#VALUE!,2,2011 2,27,170
126,512,0.5,3,3.7,320,0.3125,8,#VALUE!,#VALUE!,2,2011 2,27,110
621,Err:502,Err:502,3,8.9,32,32,Err:502,#VALUE!,#VALUE!,2,2011 2,27,190
589,Err:502,Err:502,3,10,43540,42.51953125,8,#VALUE!,#VALUE!,2,2011 2,27,290
621,Err:502,Err:502,3,8.9,32,32,Err:502,#VALUE!,#VALUE!,2,2011 2,27,710
730,1,1,3,10,43540,42.51953125,5,#VALUE!,#VALUE!,2,2011 2,27,310
